year,month,day,statefips,State,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
2020,2,25,44,RI,0.0586,-0.0343,0.463,0.03,-2.66E-10,0.00143,0.0013
2020,2,25,45,SC,0.0157,-0.00857,-0.02,0.0371,0.0114,0.00857,-0.00641
2020,2,25,46,SD,0.00857,0.0514,0.124,0.02,0.0171,0.00286,0.000828
2020,2,25,47,TN,0.0186,0.00286,0.111,0.0243,0.02,0,0.00175
2020,2,25,48,TX,0.02,0.00429,-0.0171,0.0171,0.0257,-0.00143,0.00225
2020,2,25,49,UT,0.0529,0.0829,0.213,0.04,0.03,-0.00429,0.00569
2020,2,25,50,VT,0.0714,0.0214,0.201,0.101,-0.0257,0.00286,0.000811
2020,2,25,51,VA,0.0157,0.00571,0.117,0.0257,0.0157,0.00429,-0.00161
2020,2,25,53,WA,0.0486,0.00714,0.36,0.0514,0.00286,-0.00571,0.00718
2020,2,25,54,WV,0.0514,-0.0114,0.171,0.03,0.0214,0.00143,0.000899
2020,2,25,55,WI,0.0414,0.0314,0.199,0.0286,0.03,-0.00429,0.00944
2020,2,25,56,WY,0.0286,0.05,0.0471,0.04,0.0243,0.00429,-0.00337
2020,2,26,1,AL,0.0357,0.00714,0.111,0.0814,0.00857,0.00429,-0.00359
2020,2,26,2,AK,0.0586,0.02,0.0714,0.0214,0.0314,-0.00286,0.00541
2020,2,26,4,AZ,0.0429,0.01,0.0414,0.0443,0.00571,0.00286,-0.00591
2020,2,26,5,AR,0.0514,0.01,0.0314,0.0186,0.0186,-0.00143,-0.0000168
2020,2,26,6,CA,0.0243,0.00857,0.116,0.01,0.0186,-0.00143,0.00049
2020,2,26,8,CO,0.0114,0.0157,-0.0914,0.0129,0.0257,0,-0.00172
2020,2,26,9,CT,0.0457,-0.00714,0.27,0.0486,0.0229,-0.00286,0.00653
2020,2,26,10,DE,0.04,0.0114,0.164,0.0514,0.0271,-0.00429,0.00731
2020,2,26,11,DC,0.00714,-0.0386,0.114,0.03,0.00429,0.00429,-0.00192
2020,2,26,12,FL,0.03,0.00714,0.05,0.0314,0.01,0.00143,-0.00138
2020,2,26,13,GA,0.0171,-0.00857,0.0686,0.0186,0.00286,0.00286,-0.000429
2020,2,26,15,HI,0.0171,0.00286,0.0986,0.0143,0.01,0,0.00111
2020,2,26,16,ID,0.0671,0.0514,0.277,0.0743,0.0329,-0.01,0.0132
2020,2,26,17,IL,0.0343,0.0314,0.226,0.0257,0.0243,-0.00429,0.00921
2020,2,26,18,IN,0.0471,0.01,0.209,0.0529,0.0186,-0.00143,0.00441
2020,2,26,19,IA,0.0543,0.101,0.24,0.00857,0.0329,-0.00857,0.0137
2020,2,26,20,KS,0.0557,-0.01,0.141,0.00714,0.0314,-0.00571,0.00702
2020,2,26,21,KY,0.0386,0.0371,0.139,0.0357,0.0243,-0.00143,0.00453
2020,2,26,22,LA,0.121,0.07,0.237,0.21,-0.0871,0.01,-0.00554
2020,2,26,23,ME,0.0757,0.0257,0.174,0.116,-0.01,0.00143,0.00289
2020,2,26,24,MD,0.0229,0.00143,0.17,0.0143,0.03,-0.00429,0.00792
2020,2,26,25,MA,0.04,-0.0171,0.244,0.02,-0.00571,0.00286,0.0000806
2020,2,26,26,MI,0.0271,-0.00286,0.223,0.0871,0.01,0.00286,0.00144
2020,2,26,27,MN,0.0443,0.03,0.0986,0.0514,0.0229,-0.00571,0.0102
2020,2,26,28,MS,0.0571,0.02,0.0543,0.0857,-0.00714,0.00429,-0.00359
2020,2,26,29,MO,0.0614,0.0257,0.163,0.0429,0.0586,-0.00857,0.0122
2020,2,26,30,MT,0.06,0.0243,0.00857,0.0514,0.0214,-0.00571,0.00692
2020,2,26,31,NE,0.0671,0.0329,0.271,0.05,0.02,-0.00429,0.00807
2020,2,26,32,NV,0.04,0.0229,0.0971,0.03,0.00429,0,0.000607
2020,2,26,33,NH,0.05,-0.0143,0.25,0.161,-0.0257,0.00143,0.00225
2020,2,26,34,NJ,0.0229,-0.00429,0.286,0.02,0.0214,-0.00143,0.00403
2020,2,26,35,NM,0.0443,0.0443,-0.02,0.0329,0.0229,-0.00286,0.00177
2020,2,26,36,NY,0.0343,-0.00714,0.14,-0.00714,-0.00143,0.00429,-0.00161
2020,2,26,37,NC,0.00143,-0.0257,0.05,0.0143,-0.0157,0.02,-0.0193
2020,2,26,38,ND,0.0571,0.00286,0.114,0.0571,0.0286,-0.00714,0.0124
2020,2,26,39,OH,0.0457,0.00857,0.236,0.0443,0.0243,-0.00286,0.00622
2020,2,26,40,OK,0.0386,0.00571,-0.0429,0.0329,0.0214,0,-0.0014
2020,2,26,41,OR,0.0686,0.03,0.363,0.0514,0.0243,-0.01,0.0125
2020,2,26,42,PA,0.05,0.0114,0.306,0.0286,0.0257,-0.00286,0.00563
2020,2,26,44,RI,0.0643,-0.0329,0.45,0.0357,0.01,-0.00143,0.0045
2020,2,26,45,SC,0.0286,-0.00571,-0.0114,0.0471,0.0143,0.00571,-0.00321
2020,2,26,46,SD,0.0243,0.0671,0.134,0.0271,0.0186,0,0.00403
2020,2,26,47,TN,0.0286,0.00571,0.0929,0.0257,0.02,0,0.00175
2020,2,26,48,TX,0.0371,0.0129,-2.66E-10,0.0243,0.0271,-0.00429,0.00545
2020,2,26,49,UT,0.0629,0.0886,0.23,0.0471,0.03,-0.00571,0.00728
2020,2,26,50,VT,0.0714,0.02,0.181,0.0971,-0.0343,0.00429,-0.000789
2020,2,26,51,VA,0.0229,0.00857,0.119,0.03,0.0157,0.00286,-0.0000123
