year,month,day,statefips,State,case_rate,new_case_rate
2020,1,25,32,NV,0,.
2020,1,25,33,NH,0,.
2020,1,25,34,NJ,0,.
2020,1,25,35,NM,0,.
2020,1,25,36,NY,0,.
2020,1,25,37,NC,0,.
2020,1,25,38,ND,0,.
2020,1,25,39,OH,0,.
2020,1,25,40,OK,0,.
2020,1,25,41,OR,0,.
2020,1,25,42,PA,0,.
2020,1,25,44,RI,0,.
2020,1,25,45,SC,0,.
2020,1,25,46,SD,0,.
2020,1,25,47,TN,0,.
2020,1,25,48,TX,0,.
2020,1,25,49,UT,0,.
2020,1,25,50,VT,0,.
2020,1,25,51,VA,0,.
2020,1,25,53,WA,0.0131,.
2020,1,25,54,WV,0,.
2020,1,25,55,WI,0,.
2020,1,25,56,WY,0,.
2020,1,26,1,AL,0,.
2020,1,26,2,AK,0,.
2020,1,26,4,AZ,0.0137,.
2020,1,26,5,AR,0,.
2020,1,26,6,CA,0.00506,.
2020,1,26,8,CO,0,.
2020,1,26,9,CT,0,.
2020,1,26,10,DE,0,.
2020,1,26,11,DC,0,.
2020,1,26,12,FL,0,.
2020,1,26,13,GA,0,.
2020,1,26,15,HI,0,.
2020,1,26,16,ID,0,.
2020,1,26,17,IL,0.00789,.
2020,1,26,18,IN,0,.
2020,1,26,19,IA,0,.
2020,1,26,20,KS,0,.
2020,1,26,21,KY,0,.
2020,1,26,22,LA,0,.
2020,1,26,23,ME,0,.
2020,1,26,24,MD,0,.
2020,1,26,25,MA,0,.
2020,1,26,26,MI,0,.
2020,1,26,27,MN,0,.
2020,1,26,28,MS,0,.
2020,1,26,29,MO,0,.
2020,1,26,30,MT,0,.
2020,1,26,31,NE,0,.
2020,1,26,32,NV,0,.
2020,1,26,33,NH,0,.
2020,1,26,34,NJ,0,.
2020,1,26,35,NM,0,.
2020,1,26,36,NY,0,.
2020,1,26,37,NC,0,.
2020,1,26,38,ND,0,.
2020,1,26,39,OH,0,.
2020,1,26,40,OK,0,.
2020,1,26,41,OR,0,.
2020,1,26,42,PA,0,.
2020,1,26,44,RI,0,.
2020,1,26,45,SC,0,.
2020,1,26,46,SD,0,.
2020,1,26,47,TN,0,.
2020,1,26,48,TX,0,.
2020,1,26,49,UT,0,.
2020,1,26,50,VT,0,.
2020,1,26,51,VA,0,.
2020,1,26,53,WA,0.0131,.
2020,1,26,54,WV,0,.
2020,1,26,55,WI,0,.
2020,1,26,56,WY,0,.
2020,1,27,1,AL,0,0
2020,1,27,2,AK,0,0
2020,1,27,4,AZ,0.0137,0.00196
2020,1,27,5,AR,0,0
2020,1,27,6,CA,0.00506,0.000723
2020,1,27,8,CO,0,0
2020,1,27,9,CT,0,0
2020,1,27,10,DE,0,0
2020,1,27,11,DC,0,0
2020,1,27,12,FL,0,0
2020,1,27,13,GA,0,0
2020,1,27,15,HI,0,0
2020,1,27,16,ID,0,0
2020,1,27,17,IL,0.00789,0.00113
2020,1,27,18,IN,0,0
2020,1,27,19,IA,0,0
2020,1,27,20,KS,0,0
2020,1,27,21,KY,0,0
2020,1,27,22,LA,0,0
2020,1,27,23,ME,0,0
2020,1,27,24,MD,0,0
2020,1,27,25,MA,0,0
2020,1,27,26,MI,0,0
2020,1,27,27,MN,0,0
2020,1,27,28,MS,0,0
2020,1,27,29,MO,0,0
2020,1,27,30,MT,0,0
2020,1,27,31,NE,0,0
2020,1,27,32,NV,0,0
2020,1,27,33,NH,0,0
2020,1,27,34,NJ,0,0
2020,1,27,35,NM,0,0
2020,1,27,36,NY,0,0
2020,1,27,37,NC,0,0
2020,1,27,38,ND,0,0
2020,1,27,39,OH,0,0
2020,1,27,40,OK,0,0
2020,1,27,41,OR,0,0
2020,1,27,42,PA,0,0
2020,1,27,44,RI,0,0
2020,1,27,45,SC,0,0
2020,1,27,46,SD,0,0
2020,1,27,47,TN,0,0
2020,1,27,48,TX,0,0
2020,1,27,49,UT,0,0
2020,1,27,50,VT,0,0
2020,1,27,51,VA,0,0
2020,1,27,53,WA,0.0131,0
2020,1,27,54,WV,0,0
2020,1,27,55,WI,0,0
2020,1,27,56,WY,0,0
2020,1,28,1,AL,0,0
2020,1,28,2,AK,0,0
2020,1,28,4,AZ,0.0137,0.00196
2020,1,28,5,AR,0,0
2020,1,28,6,CA,0.00506,0.000723
2020,1,28,8,CO,0,0
2020,1,28,9,CT,0,0
2020,1,28,10,DE,0,0
2020,1,28,11,DC,0,0
2020,1,28,12,FL,0,0
2020,1,28,13,GA,0,0
2020,1,28,15,HI,0,0
2020,1,28,16,ID,0,0
2020,1,28,17,IL,0.00789,0.00113
2020,1,28,18,IN,0,0
2020,1,28,19,IA,0,0
2020,1,28,20,KS,0,0
2020,1,28,21,KY,0,0
2020,1,28,22,LA,0,0
2020,1,28,23,ME,0,0
2020,1,28,24,MD,0,0
2020,1,28,25,MA,0,0
2020,1,28,26,MI,0,0
2020,1,28,27,MN,0,0
2020,1,28,28,MS,0,0
2020,1,28,29,MO,0,0
2020,1,28,30,MT,0,0
2020,1,28,31,NE,0,0
2020,1,28,32,NV,0,0
2020,1,28,33,NH,0,0
2020,1,28,34,NJ,0,0
2020,1,28,35,NM,0,0
2020,1,28,36,NY,0,0
2020,1,28,37,NC,0,0
2020,1,28,38,ND,0,0
2020,1,28,39,OH,0,0
2020,1,28,40,OK,0,0
2020,1,28,41,OR,0,0
2020,1,28,42,PA,0,0
2020,1,28,44,RI,0,0
2020,1,28,45,SC,0,0
2020,1,28,46,SD,0,0
2020,1,28,47,TN,0,0
2020,1,28,48,TX,0,0
2020,1,28,49,UT,0,0
2020,1,28,50,VT,0,0
2020,1,28,51,VA,0,0
2020,1,28,53,WA,0.0131,0
2020,1,28,54,WV,0,0
2020,1,28,55,WI,0,0
2020,1,28,56,WY,0,0
2020,1,29,1,AL,0,0
2020,1,29,2,AK,0,0
2020,1,29,4,AZ,0.0137,0.00196
2020,1,29,5,AR,0,0
2020,1,29,6,CA,0.00506,0.000723
2020,1,29,8,CO,0,0
2020,1,29,9,CT,0,0
2020,1,29,10,DE,0,0
2020,1,29,11,DC,0,0
2020,1,29,12,FL,0,0
2020,1,29,13,GA,0,0
2020,1,29,15,HI,0,0
2020,1,29,16,ID,0,0
2020,1,29,17,IL,0.00789,0.00113
2020,1,29,18,IN,0,0
2020,1,29,19,IA,0,0
2020,1,29,20,KS,0,0
2020,1,29,21,KY,0,0
2020,1,29,22,LA,0,0
2020,1,29,23,ME,0,0
2020,1,29,24,MD,0,0
2020,1,29,25,MA,0,0
2020,1,29,26,MI,0,0
2020,1,29,27,MN,0,0
2020,1,29,28,MS,0,0
2020,1,29,29,MO,0,0
2020,1,29,30,MT,0,0
2020,1,29,31,NE,0,0
2020,1,29,32,NV,0,0
2020,1,29,33,NH,0,0
2020,1,29,34,NJ,0,0
2020,1,29,35,NM,0,0
